universe,family,signal,own_horizon,fwd_horizon,method,region,n_periods,mean_ic,std_ic,analytic_p,bh_significant
null,momentum,momentum,1H,1H,spearman,design,113,-0.025526955076394783,0.2314022629916762,0.2409337784231852,False
null,momentum,momentum,1H,1H,pearson,design,113,-0.012238346994473114,0.2397172137767963,0.5873338430075137,False
null,momentum,momentum,1H,4H,spearman,design,113,-0.007507054987807881,0.26029173354121404,0.7591605942989466,False
null,momentum,momentum,1H,12H,spearman,design,113,-0.004285277222206999,0.21422058135789057,0.8316031911272881,False
null,momentum,momentum,1H,1D,spearman,design,113,0.014881457939486928,0.24007329825448617,0.5099391972000613,False
null,momentum,momentum,1H,3D,spearman,design,113,-0.012349196781646988,0.27460244177695403,0.6326144492298433,False
null,momentum,momentum,1H,7D,spearman,design,113,-0.036646209485191386,0.23636502898033612,0.09933098392024864,False
null,momentum,momentum,1H,14D,spearman,design,113,-0.027810579285277224,0.22774161436224485,0.19425429691392881,False
null,momentum,momentum,1H,30D,spearman,design,113,-0.030718878142780164,0.22448910308987635,0.14577471962574184,False
null,momentum,momentum,1H,1H,spearman,validation,83,0.0022797958752302453,0.23736884963043675,0.9302735679089353,False
null,momentum,momentum,1H,1H,pearson,validation,83,0.0038254423556799005,0.24094822561528403,0.8849928621272829,False
null,momentum,momentum,1H,4H,spearman,validation,83,0.006464957574659546,0.22683729432506286,0.7951328694584192,False
null,momentum,momentum,1H,12H,spearman,validation,83,0.0025304224416462864,0.22543874044186749,0.9185507267417083,False
null,momentum,momentum,1H,1D,spearman,validation,83,-0.002611951565661134,0.23591892308639864,0.9196574621977277,False
null,momentum,momentum,1H,3D,spearman,validation,83,-0.010949059395476643,0.27874596163825366,0.7204517148219588,False
null,momentum,momentum,1H,7D,spearman,validation,83,-0.020065223299211888,0.24413284430882826,0.45398711738625275,False
null,momentum,momentum,1H,14D,spearman,validation,83,-0.010348159555515293,0.2426150334854035,0.697584209121558,False
null,momentum,momentum,1H,30D,spearman,validation,83,-0.020095419271069236,0.2483859503465171,0.46107941430513777,False
null,momentum,momentum,4H,1H,spearman,design,113,-0.03773162735052102,0.2371138966963348,0.09072964321946134,False
null,momentum,momentum,4H,4H,spearman,design,113,-0.005745362886654424,0.23682530973571586,0.7964945203115938,False
null,momentum,momentum,4H,4H,pearson,design,113,-0.0021907178272096025,0.2275667219087391,0.918492137317856,False
null,momentum,momentum,4H,12H,spearman,design,113,0.013026612601258482,0.22201605622738455,0.5328146315925413,False
null,momentum,momentum,4H,1D,spearman,design,113,0.033982437875010284,0.23578419711275686,0.12550476963248652,False
null,momentum,momentum,4H,3D,spearman,design,113,0.0030676639542635883,0.2516489998926565,0.896895464755458,False
null,momentum,momentum,4H,7D,spearman,design,113,-0.011542097043754628,0.2577183334033755,0.6340184066024566,False
null,momentum,momentum,4H,14D,spearman,design,113,0.01345493483839739,0.25216253917437725,0.5705747330608664,False
null,momentum,momentum,4H,30D,spearman,design,113,0.013056522096495791,0.23838390842528748,0.560416089236915,False
null,momentum,momentum,4H,1H,spearman,validation,83,-0.005226922728508017,0.2255212589236062,0.8327677392364512,False
null,momentum,momentum,4H,4H,spearman,validation,83,0.027306217350605424,0.23412178547431273,0.2879756531627701,False
null,momentum,momentum,4H,4H,pearson,validation,83,0.041106517282041836,0.22829814859854142,0.10092392538705487,False
null,momentum,momentum,4H,12H,spearman,validation,83,0.022335960382884917,0.2377424052406344,0.39203783402396164,False
null,momentum,momentum,4H,1D,spearman,validation,83,0.02054835884892955,0.22459875797123435,0.40455929967292636,False
null,momentum,momentum,4H,3D,spearman,validation,83,0.01279403327596098,0.26206307151086916,0.6564821208354404,False
null,momentum,momentum,4H,7D,spearman,validation,83,0.0024398345260742186,0.2177126476717167,0.9186791637763958,False
null,momentum,momentum,4H,14D,spearman,validation,83,-0.0034332820001811712,0.2394551481915795,0.8960724312354222,False
null,momentum,momentum,4H,30D,spearman,validation,83,-0.0348401123290153,0.2594181761732481,0.2211257854503822,False
null,momentum,momentum,12H,1H,spearman,design,113,-0.005332566189028011,0.24172893482198662,0.814595160367428,False
null,momentum,momentum,12H,4H,spearman,design,113,-0.010912399426468305,0.252783980782989,0.6463121484810679,False
null,momentum,momentum,12H,12H,spearman,design,113,-0.03867023754075454,0.2417450006162256,0.08905021882882787,False
null,momentum,momentum,12H,12H,pearson,design,113,-0.0321491446324583,0.23645639703313703,0.14837403617748393,False
null,momentum,momentum,12H,1D,spearman,design,113,-0.022987387782313677,0.2435894588235174,0.31578350578364756,False
null,momentum,momentum,12H,3D,spearman,design,113,-0.019082029644647808,0.24971196871673043,0.4166109523506708,False
null,momentum,momentum,12H,7D,spearman,design,113,-0.023291734020110144,0.23591080500807254,0.29393608486400313,False
null,momentum,momentum,12H,14D,spearman,design,113,0.02499543366484927,0.2229256956632083,0.23330051475316826,False
null,momentum,momentum,12H,30D,spearman,design,113,-0.010937285953039812,0.222604359225863,0.6014655733053642,False
null,momentum,momentum,12H,1H,spearman,validation,83,0.033016275628831096,0.23907679729419973,0.2083403665816228,False
null,momentum,momentum,12H,4H,spearman,validation,83,0.0321798472083824,0.2628330351294251,0.2646653715310642,False
null,momentum,momentum,12H,12H,spearman,validation,83,0.032095298487181824,0.22528687999048908,0.19431827761216613,False
null,momentum,momentum,12H,12H,pearson,validation,83,0.03536025331404888,0.2440504712222808,0.18683417369972277,False
null,momentum,momentum,12H,1D,spearman,validation,83,0.025696772050608444,0.21888193728930225,0.28481458917980973,False
null,momentum,momentum,12H,3D,spearman,validation,83,-0.01818401425249872,0.227379083283526,0.4662575355925713,False
null,momentum,momentum,12H,7D,spearman,validation,83,-0.04040221034513995,0.2316174496511482,0.11201992109034398,False
null,momentum,momentum,12H,14D,spearman,validation,83,-0.0207234954857022,0.24137526596154377,0.43410606123129714,False
null,momentum,momentum,12H,30D,spearman,validation,83,-0.030769695322643956,0.2331886758450397,0.22930957223272252,False
null,momentum,momentum,1D,1H,spearman,design,113,0.036793017160287496,0.24102515237994265,0.10465033698034698,False
