universe,family,signal,own_horizon,fwd_horizon,method,region,n_periods,mean_ic,std_ic,analytic_p,bh_significant
positive_control,momentum,momentum,1H,1H,spearman,design,113,0.9692375133565303,0.01871862940410421,0.0,True
positive_control,momentum,momentum,1H,1H,pearson,design,113,0.9841438519270741,0.008100577502128442,0.0,True
positive_control,momentum,momentum,1H,4H,spearman,design,113,0.964428477492534,0.024458499209477506,0.0,True
positive_control,momentum,momentum,1H,12H,spearman,design,113,0.9499360713078897,0.030945317984118873,0.0,True
positive_control,momentum,momentum,1H,1D,spearman,design,113,0.9256057243577449,0.03964777084917934,0.0,True
positive_control,momentum,momentum,1H,3D,spearman,design,113,0.8418262600801847,0.08611279676212338,0.0,True
positive_control,momentum,momentum,1H,7D,spearman,design,113,0.7234371717946609,0.12440858734455654,0.0,True
positive_control,momentum,momentum,1H,14D,spearman,design,113,0.5837084427337191,0.15683790099979122,0.0,True
positive_control,momentum,momentum,1H,30D,spearman,design,113,0.3723427729571868,0.17604236568344192,6.012825010442539e-112,True
positive_control,momentum,momentum,1H,1H,spearman,validation,83,0.9739106803152459,0.016124817087237855,0.0,True
positive_control,momentum,momentum,1H,1H,pearson,validation,83,0.9839745563832328,0.0082793260575754,0.0,True
positive_control,momentum,momentum,1H,4H,spearman,validation,83,0.9715040613582148,0.018586128428579003,0.0,True
positive_control,momentum,momentum,1H,12H,spearman,validation,83,0.9556179605640605,0.024823117308608686,0.0,True
positive_control,momentum,momentum,1H,1D,spearman,validation,83,0.9297309538907509,0.03379189893054102,0.0,True
positive_control,momentum,momentum,1H,3D,spearman,validation,83,0.8499622550351781,0.06854688202605179,0.0,True
positive_control,momentum,momentum,1H,7D,spearman,validation,83,0.7164719026481866,0.12177100749318752,0.0,True
positive_control,momentum,momentum,1H,14D,spearman,validation,83,0.5314883594528489,0.17548032294087806,1.3372874219922276e-167,True
positive_control,momentum,momentum,1H,30D,spearman,validation,83,0.3964182127406186,0.20668009358173628,2.258092014887104e-68,True
positive_control,momentum,momentum,4H,1H,spearman,design,113,0.9676874708896134,0.021547125320956876,0.0,True
positive_control,momentum,momentum,4H,4H,spearman,design,113,0.9642967387234354,0.024528689869877305,0.0,True
positive_control,momentum,momentum,4H,4H,pearson,design,113,0.981877057030935,0.009139367700358446,0.0,True
positive_control,momentum,momentum,4H,12H,spearman,design,113,0.9481399033763482,0.035461656751527654,0.0,True
positive_control,momentum,momentum,4H,1D,spearman,design,113,0.922770943496169,0.044021976124053265,0.0,True
positive_control,momentum,momentum,4H,3D,spearman,design,113,0.840105208361873,0.08739190730262673,0.0,True
positive_control,momentum,momentum,4H,7D,spearman,design,113,0.7252901905988293,0.12681249483358684,0.0,True
positive_control,momentum,momentum,4H,14D,spearman,design,113,0.5869775575252612,0.1611462833503369,0.0,True
positive_control,momentum,momentum,4H,30D,spearman,design,113,0.3771699869251477,0.17621292079917295,1.3402642954184056e-114,True
positive_control,momentum,momentum,4H,1H,spearman,validation,83,0.9721260983784763,0.016146912695697735,0.0,True
positive_control,momentum,momentum,4H,4H,spearman,validation,83,0.9697406166017455,0.019481046329889923,0.0,True
positive_control,momentum,momentum,4H,4H,pearson,validation,83,0.98234788768256,0.008529876140757566,0.0,True
positive_control,momentum,momentum,4H,12H,spearman,validation,83,0.9545127879940816,0.02641275767928346,0.0,True
positive_control,momentum,momentum,4H,1D,spearman,validation,83,0.9288069571519161,0.037897451732526115,0.0,True
positive_control,momentum,momentum,4H,3D,spearman,validation,83,0.846997010598786,0.07205901925133391,0.0,True
positive_control,momentum,momentum,4H,7D,spearman,validation,83,0.7122082314219284,0.12587736317813542,0.0,True
positive_control,momentum,momentum,4H,14D,spearman,validation,83,0.5293112298819336,0.17138842171853697,3.5145931717038596e-174,True
positive_control,momentum,momentum,4H,30D,spearman,validation,83,0.39503033535128135,0.20353416323877982,5.767918278917225e-70,True
positive_control,momentum,momentum,12H,1H,spearman,design,113,0.9474946802195493,0.0329899549895403,0.0,True
positive_control,momentum,momentum,12H,4H,spearman,design,113,0.9456768221960419,0.03491894924168241,0.0,True
positive_control,momentum,momentum,12H,12H,spearman,design,113,0.9324668712384814,0.04237119452350266,0.0,True
positive_control,momentum,momentum,12H,12H,pearson,design,113,0.9478163720271825,0.03090062264268892,0.0,True
positive_control,momentum,momentum,12H,1D,spearman,design,113,0.9078490734905981,0.05176646925162886,0.0,True
positive_control,momentum,momentum,12H,3D,spearman,design,113,0.829806752696421,0.09102487552927334,0.0,True
positive_control,momentum,momentum,12H,7D,spearman,design,113,0.7171659954153995,0.1303292249126361,0.0,True
positive_control,momentum,momentum,12H,14D,spearman,design,113,0.5846429884376599,0.166667247173824,2.4823502627948743e-304,True
positive_control,momentum,momentum,12H,30D,spearman,design,113,0.37062419995666945,0.18106679815939195,5.7068858279265306e-105,True
positive_control,momentum,momentum,12H,1H,spearman,validation,83,0.9559259594770058,0.0248784456012441,0.0,True
positive_control,momentum,momentum,12H,4H,spearman,validation,83,0.9534015762297309,0.02706845542970503,0.0,True
positive_control,momentum,momentum,12H,12H,spearman,validation,83,0.9378355527372647,0.03490886549998728,0.0,True
positive_control,momentum,momentum,12H,12H,pearson,validation,83,0.9533577906109036,0.029243946159134,0.0,True
positive_control,momentum,momentum,12H,1D,spearman,validation,83,0.9156324546305522,0.04812510340555366,0.0,True
positive_control,momentum,momentum,12H,3D,spearman,validation,83,0.8380378657487092,0.07360712889626433,0.0,True
positive_control,momentum,momentum,12H,7D,spearman,validation,83,0.7020291693088142,0.12216043299552548,0.0,True
positive_control,momentum,momentum,12H,14D,spearman,validation,83,0.5185373071232298,0.17331866262173168,1.3830874937906611e-163,True
positive_control,momentum,momentum,12H,30D,spearman,validation,83,0.38331670087097847,0.20271887749697795,1.6737727204406105e-66,True
positive_control,momentum,momentum,1D,1H,spearman,design,113,0.921930052878161,0.04721228942077966,0.0,True
positive_control,momentum,momentum,1D,4H,spearman,design,113,0.9230277998483976,0.043769979184941854,0.0,True
positive_control,momentum,momentum,1D,12H,spearman,design,113,0.9110592071015644,0.046809376120407274,0.0,True
positive_control,momentum,momentum,1D,1D,spearman,design,113,0.8865482615962081,0.05993364674478465,0.0,True
positive_control,momentum,momentum,1D,1D,pearson,design,113,0.8754706100153694,0.09943261711820235,0.0,True
positive_control,momentum,momentum,1D,3D,spearman,design,113,0.8166100441107975,0.09800299986333283,0.0,True
positive_control,momentum,momentum,1D,7D,spearman,design,113,0.7090883768505073,0.13249016731982508,0.0,True
positive_control,momentum,momentum,1D,14D,spearman,design,113,0.5791113697099896,0.16435768340552037,4.9560910716629485e-307,True
positive_control,momentum,momentum,1D,30D,spearman,design,113,0.3639923702927182,0.18076872212547443,1.209146839440245e-101,True
positive_control,momentum,momentum,1D,1H,spearman,validation,83,0.9317118096445934,0.039106409871137504,0.0,True
positive_control,momentum,momentum,1D,4H,spearman,validation,83,0.930002717637467,0.04074103924150646,0.0,True
positive_control,momentum,momentum,1D,12H,spearman,validation,83,0.91531539692605,0.04802308175808202,0.0,True
positive_control,momentum,momentum,1D,1D,spearman,validation,83,0.8935229640365975,0.05968243212205919,0.0,True
positive_control,momentum,momentum,1D,1D,pearson,validation,83,0.8835447378098874,0.0940776632728355,0.0,True
positive_control,momentum,momentum,1D,3D,spearman,validation,83,0.8189238155630035,0.08224678723112966,0.0,True
positive_control,momentum,momentum,1D,7D,spearman,validation,83,0.6812845366428119,0.13323176117410573,0.0,True
positive_control,momentum,momentum,1D,14D,spearman,validation,83,0.49933870821632387,0.18019672034058468,1.262694416332298e-140,True
positive_control,momentum,momentum,1D,30D,spearman,validation,83,0.37356394027908596,0.19909302156212044,1.6402146685464062e-65,True
positive_control,momentum,momentum,3D,1H,spearman,design,113,0.841979917258007,0.08607215665510551,0.0,True
positive_control,momentum,momentum,3D,4H,spearman,design,113,0.8421858589733052,0.08333388091623135,0.0,True
positive_control,momentum,momentum,3D,12H,spearman,design,113,0.8321892380613167,0.08962130087517002,0.0,True
positive_control,momentum,momentum,3D,1D,spearman,design,113,0.8144542772861357,0.1031879259779809,0.0,True
positive_control,momentum,momentum,3D,3D,spearman,design,113,0.7536713334611906,0.1260440598451945,0.0,True
positive_control,momentum,momentum,3D,3D,pearson,design,113,0.5317959876384953,0.3747623982782826,2.0510624863780774e-51,True
positive_control,momentum,momentum,3D,7D,spearman,design,113,0.6575531749728305,0.1514734262469894,0.0,True
positive_control,momentum,momentum,3D,14D,spearman,design,113,0.5371447297817784,0.1619572729321063,2.799955307138979e-272,True
positive_control,momentum,momentum,3D,30D,spearman,design,113,0.3275274829314215,0.17061021634303317,1.4452524361208805e-92,True
positive_control,momentum,momentum,3D,1H,spearman,validation,83,0.8526406377389257,0.07627479727967124,0.0,True
positive_control,momentum,momentum,3D,4H,spearman,validation,83,0.853492164145303,0.07264175104344117,0.0,True
positive_control,momentum,momentum,3D,12H,spearman,validation,83,0.8408672283117432,0.07604969392186577,0.0,True
positive_control,momentum,momentum,3D,1D,spearman,validation,83,0.8221910197179694,0.07948444496978387,0.0,True
positive_control,momentum,momentum,3D,3D,spearman,validation,83,0.7493130416402451,0.10363812345708699,0.0,True
positive_control,momentum,momentum,3D,3D,pearson,validation,83,0.6127609171207669,0.36252014010639777,1.6572442940314644e-53,True
positive_control,momentum,momentum,3D,7D,spearman,validation,83,0.6179786816438687,0.1475248085818564,0.0,True
positive_control,momentum,momentum,3D,14D,spearman,validation,83,0.45215448259202223,0.19286878576167657,3.274218067355634e-101,True
positive_control,momentum,momentum,3D,30D,spearman,validation,83,0.34655094338142145,0.19735369599096866,1.3232328855766303e-57,True
positive_control,momentum,momentum,7D,1H,spearman,design,113,0.7274596564289433,0.12029790195618793,0.0,True
positive_control,momentum,momentum,7D,4H,spearman,design,113,0.7296576618537494,0.11768862324104411,0.0,True
positive_control,momentum,momentum,7D,12H,spearman,design,113,0.7217889531220034,0.11903868036475769,0.0,True
positive_control,momentum,momentum,7D,1D,spearman,design,113,0.7052209192945925,0.12827388098639397,0.0,True
positive_control,momentum,momentum,7D,3D,spearman,design,113,0.6614462040055892,0.14113264870056252,0.0,True
positive_control,momentum,momentum,7D,7D,spearman,design,113,0.5873277350064386,0.15159263429013628,0.0,True
positive_control,momentum,momentum,7D,7D,pearson,design,113,0.24243536129901358,0.4270683984365271,1.5950421184850926e-09,True
positive_control,momentum,momentum,7D,14D,spearman,design,113,0.4763930589858597,0.153446226784387,7.448727784010493e-239,True
positive_control,momentum,momentum,7D,30D,spearman,design,113,0.26695863124429503,0.17400910640627984,8.602401164845277e-60,True
positive_control,momentum,momentum,7D,1H,spearman,validation,83,0.7216505118217229,0.10966599003168662,0.0,True
positive_control,momentum,momentum,7D,4H,spearman,validation,83,0.7254068907207778,0.10971902768197173,0.0,True
positive_control,momentum,momentum,7D,12H,spearman,validation,83,0.7164839810369298,0.11620534836408844,0.0,True
positive_control,momentum,momentum,7D,1D,spearman,validation,83,0.6993356886191382,0.11707838430760678,0.0,True
positive_control,momentum,momentum,7D,3D,spearman,validation,83,0.6286529576954434,0.12868706247581435,0.0,True
positive_control,momentum,momentum,7D,7D,spearman,validation,83,0.5074161306881662,0.17247571004887183,3.0211970714328327e-158,True
positive_control,momentum,momentum,7D,7D,pearson,validation,83,0.41754783719556215,0.47867174753378283,1.909617883045731e-15,True
positive_control,momentum,momentum,7D,14D,spearman,validation,83,0.36987347887791766,0.21223094069576895,9.064796377641605e-57,True
positive_control,momentum,momentum,7D,30D,spearman,validation,83,0.31450485712465875,0.18402163732012228,1.1582797145844992e-54,True
positive_control,momentum,momentum,14D,1H,spearman,design,113,0.5837248965725089,0.15707818910544954,0.0,True
positive_control,momentum,momentum,14D,4H,spearman,design,113,0.5886437527968802,0.15163801955600845,0.0,True
positive_control,momentum,momentum,14D,12H,spearman,design,113,0.581621870918838,0.1521070480317875,0.0,True
positive_control,momentum,momentum,14D,1D,spearman,design,113,0.568014420486406,0.16075250233634863,9.206923625974413e-309,True
positive_control,momentum,momentum,14D,3D,spearman,design,113,0.531233504114268,0.17335270995296298,9.05403626725355e-233,True
positive_control,momentum,momentum,14D,7D,spearman,design,113,0.467128323150406,0.17587698473880437,2.2625002279812696e-175,True
positive_control,momentum,momentum,14D,14D,spearman,design,113,0.3806942801218641,0.17689634435232868,7.895767162442595e-116,True
positive_control,momentum,momentum,14D,14D,pearson,design,113,0.0827248721447499,0.33878964664907374,0.009441371815966096,True
positive_control,momentum,momentum,14D,30D,spearman,design,113,0.17991455487301766,0.17979810550970152,2.0041474242803182e-26,True
positive_control,momentum,momentum,14D,1H,spearman,validation,83,0.5408491107286287,0.1647349663174685,1.4202015492257158e-196,True
positive_control,momentum,momentum,14D,4H,spearman,validation,83,0.5416040100250626,0.16720615506367262,2.1450141811512734e-191,True
positive_control,momentum,momentum,14D,12H,spearman,validation,83,0.5309810671256453,0.17321304054589795,1.2250304588701003e-171,True
positive_control,momentum,momentum,14D,1D,spearman,validation,83,0.5192499320590634,0.17306767936291292,1.6841071660289172e-164,True
positive_control,momentum,momentum,14D,3D,spearman,validation,83,0.46458616420569493,0.17539921547183726,1.1783954639507957e-128,True
positive_control,momentum,momentum,14D,7D,spearman,validation,83,0.37765800042274356,0.19249847472552112,1.8959221292732766e-71,True
positive_control,momentum,momentum,14D,14D,spearman,validation,83,0.294990488268865,0.21425896086240226,4.331895212971779e-36,True
positive_control,momentum,momentum,14D,14D,pearson,validation,83,0.11510455766768861,0.3576593525209285,0.0033680128382489894,True
positive_control,momentum,momentum,14D,30D,spearman,validation,83,0.29430181017914564,0.17365476764531118,8.819879145047088e-54,True
positive_control,momentum,momentum,30D,1H,spearman,design,113,0.392279257245605,0.16934339045306526,6.915551156742642e-134,True
positive_control,momentum,momentum,30D,4H,spearman,design,113,0.3967072232546376,0.16565204725129537,5.859146070210761e-143,True
positive_control,momentum,momentum,30D,12H,spearman,design,113,0.38997792200634496,0.16185526338929826,1.1064012464892467e-144,True
positive_control,momentum,momentum,30D,1D,spearman,design,113,0.3789374570821866,0.1619082785612121,1.2473235763386358e-136,True
positive_control,momentum,momentum,30D,3D,spearman,design,113,0.34822694907641055,0.16329662744412565,9.149070176630397e-114,True
positive_control,momentum,momentum,30D,7D,spearman,design,113,0.28266322795987364,0.17057794607170218,1.8858218785146577e-69,True
positive_control,momentum,momentum,30D,14D,spearman,design,113,0.19156438416874025,0.18283634947222924,8.231152283723253e-29,True
positive_control,momentum,momentum,30D,30D,spearman,design,113,0.06359601489617281,0.14555356087356772,3.407717781649503e-06,True
positive_control,momentum,momentum,30D,30D,pearson,design,113,0.061792742135667336,0.3390673811737856,0.05271206148854896,False
positive_control,momentum,momentum,30D,1H,spearman,validation,83,0.3817302770014106,0.16811371457909877,4.5581766284441e-95,True
positive_control,momentum,momentum,30D,4H,spearman,validation,83,0.3845264177823778,0.16797561411801948,1.3609124399492063e-96,True
positive_control,momentum,momentum,30D,12H,spearman,validation,83,0.3782274401501856,0.171944967376984,2.456507620108561e-89,True
positive_control,momentum,momentum,30D,1D,spearman,validation,83,0.3711064217795496,0.17167655334169282,2.4435729661000932e-86,True
positive_control,momentum,momentum,30D,3D,spearman,validation,83,0.3406470115822712,0.17436146897334165,7.207337333613939e-71,True
positive_control,momentum,momentum,30D,7D,spearman,validation,83,0.3068208225392628,0.18143363869996235,1.4784561137388666e-53,True
positive_control,momentum,momentum,30D,14D,spearman,validation,83,0.296935802715691,0.18506769010481142,2.1745672833894688e-48,True
positive_control,momentum,momentum,30D,30D,spearman,validation,83,0.29782159019529925,0.1612756104110115,1.6307793070080103e-63,True
positive_control,momentum,momentum,30D,30D,pearson,validation,83,0.007923705243137262,0.2533346986546812,0.7756804286924398,False
positive_control,relative_strength,relative_strength,1H,1H,spearman,design,113,0.9692375133565303,0.01871862940410421,0.0,True
positive_control,relative_strength,relative_strength,1H,1H,pearson,design,113,0.9841438519270741,0.008100577502128435,0.0,True
positive_control,relative_strength,relative_strength,1H,4H,spearman,design,113,0.964428477492534,0.024458499209477506,0.0,True
positive_control,relative_strength,relative_strength,1H,12H,spearman,design,113,0.9499360713078897,0.030945317984118873,0.0,True
positive_control,relative_strength,relative_strength,1H,1D,spearman,design,113,0.9256057243577449,0.03964777084917934,0.0,True
positive_control,relative_strength,relative_strength,1H,3D,spearman,design,113,0.8418262600801847,0.08611279676212338,0.0,True
positive_control,relative_strength,relative_strength,1H,7D,spearman,design,113,0.7234371717946609,0.12440858734455654,0.0,True
positive_control,relative_strength,relative_strength,1H,14D,spearman,design,113,0.5837084427337191,0.15683790099979122,0.0,True
positive_control,relative_strength,relative_strength,1H,30D,spearman,design,113,0.3723427729571868,0.17604236568344192,6.012825010442539e-112,True
positive_control,relative_strength,relative_strength,1H,1H,spearman,validation,83,0.9739106803152459,0.016124817087237855,0.0,True
positive_control,relative_strength,relative_strength,1H,1H,pearson,validation,83,0.9839745563832328,0.008279326057575394,0.0,True
positive_control,relative_strength,relative_strength,1H,4H,spearman,validation,83,0.9715040613582148,0.018586128428579003,0.0,True
positive_control,relative_strength,relative_strength,1H,12H,spearman,validation,83,0.9556179605640605,0.024823117308608686,0.0,True
positive_control,relative_strength,relative_strength,1H,1D,spearman,validation,83,0.9297309538907509,0.03379189893054102,0.0,True
positive_control,relative_strength,relative_strength,1H,3D,spearman,validation,83,0.8499622550351781,0.06854688202605179,0.0,True
positive_control,relative_strength,relative_strength,1H,7D,spearman,validation,83,0.7164719026481866,0.12177100749318752,0.0,True
positive_control,relative_strength,relative_strength,1H,14D,spearman,validation,83,0.5314883594528489,0.17548032294087806,1.3372874219922276e-167,True
positive_control,relative_strength,relative_strength,1H,30D,spearman,validation,83,0.3964182127406186,0.20668009358173628,2.258092014887104e-68,True
positive_control,relative_strength,relative_strength,4H,1H,spearman,design,113,0.9676874708896134,0.021547125320956876,0.0,True
positive_control,relative_strength,relative_strength,4H,4H,spearman,design,113,0.9642967387234354,0.024528689869877305,0.0,True
positive_control,relative_strength,relative_strength,4H,4H,pearson,design,113,0.9818770570309349,0.00913936770035845,0.0,True
positive_control,relative_strength,relative_strength,4H,12H,spearman,design,113,0.9481399033763482,0.035461656751527654,0.0,True
positive_control,relative_strength,relative_strength,4H,1D,spearman,design,113,0.922770943496169,0.044021976124053265,0.0,True
positive_control,relative_strength,relative_strength,4H,3D,spearman,design,113,0.840105208361873,0.08739190730262673,0.0,True
positive_control,relative_strength,relative_strength,4H,7D,spearman,design,113,0.7252901905988293,0.12681249483358684,0.0,True
positive_control,relative_strength,relative_strength,4H,14D,spearman,design,113,0.5869775575252612,0.1611462833503369,0.0,True
positive_control,relative_strength,relative_strength,4H,30D,spearman,design,113,0.3771699869251477,0.17621292079917295,1.3402642954184056e-114,True
positive_control,relative_strength,relative_strength,4H,1H,spearman,validation,83,0.9721260983784763,0.016146912695697735,0.0,True
positive_control,relative_strength,relative_strength,4H,4H,spearman,validation,83,0.9697406166017455,0.019481046329889923,0.0,True
positive_control,relative_strength,relative_strength,4H,4H,pearson,validation,83,0.98234788768256,0.008529876140757568,0.0,True
positive_control,relative_strength,relative_strength,4H,12H,spearman,validation,83,0.9545127879940816,0.02641275767928346,0.0,True
positive_control,relative_strength,relative_strength,4H,1D,spearman,validation,83,0.9288069571519161,0.037897451732526115,0.0,True
positive_control,relative_strength,relative_strength,4H,3D,spearman,validation,83,0.846997010598786,0.07205901925133391,0.0,True
positive_control,relative_strength,relative_strength,4H,7D,spearman,validation,83,0.7122082314219284,0.12587736317813542,0.0,True
positive_control,relative_strength,relative_strength,4H,14D,spearman,validation,83,0.5293112298819336,0.17138842171853697,3.5145931717038596e-174,True
positive_control,relative_strength,relative_strength,4H,30D,spearman,validation,83,0.39503033535128135,0.20353416323877982,5.767918278917225e-70,True
positive_control,relative_strength,relative_strength,12H,1H,spearman,design,113,0.9474946802195493,0.0329899549895403,0.0,True
positive_control,relative_strength,relative_strength,12H,4H,spearman,design,113,0.9456768221960419,0.03491894924168241,0.0,True
positive_control,relative_strength,relative_strength,12H,12H,spearman,design,113,0.9324668712384814,0.04237119452350266,0.0,True
positive_control,relative_strength,relative_strength,12H,12H,pearson,design,113,0.9478163720271825,0.030900622642688922,0.0,True
positive_control,relative_strength,relative_strength,12H,1D,spearman,design,113,0.9078490734905981,0.05176646925162886,0.0,True
positive_control,relative_strength,relative_strength,12H,3D,spearman,design,113,0.829806752696421,0.09102487552927334,0.0,True
positive_control,relative_strength,relative_strength,12H,7D,spearman,design,113,0.7171659954153995,0.1303292249126361,0.0,True
positive_control,relative_strength,relative_strength,12H,14D,spearman,design,113,0.5846429884376599,0.166667247173824,2.4823502627948743e-304,True
positive_control,relative_strength,relative_strength,12H,30D,spearman,design,113,0.37062419995666945,0.18106679815939195,5.7068858279265306e-105,True
positive_control,relative_strength,relative_strength,12H,1H,spearman,validation,83,0.9559259594770058,0.0248784456012441,0.0,True
positive_control,relative_strength,relative_strength,12H,4H,spearman,validation,83,0.9534015762297309,0.02706845542970503,0.0,True
positive_control,relative_strength,relative_strength,12H,12H,spearman,validation,83,0.9378355527372647,0.03490886549998728,0.0,True
positive_control,relative_strength,relative_strength,12H,12H,pearson,validation,83,0.9533577906109036,0.029243946159133973,0.0,True
positive_control,relative_strength,relative_strength,12H,1D,spearman,validation,83,0.9156324546305522,0.04812510340555366,0.0,True
positive_control,relative_strength,relative_strength,12H,3D,spearman,validation,83,0.8380378657487092,0.07360712889626433,0.0,True
positive_control,relative_strength,relative_strength,12H,7D,spearman,validation,83,0.7020291693088142,0.12216043299552548,0.0,True
positive_control,relative_strength,relative_strength,12H,14D,spearman,validation,83,0.5185373071232298,0.17331866262173168,1.3830874937906611e-163,True
positive_control,relative_strength,relative_strength,12H,30D,spearman,validation,83,0.38331670087097847,0.20271887749697795,1.6737727204406105e-66,True
positive_control,relative_strength,relative_strength,1D,1H,spearman,design,113,0.921930052878161,0.04721228942077966,0.0,True
positive_control,relative_strength,relative_strength,1D,4H,spearman,design,113,0.9230277998483976,0.043769979184941854,0.0,True
positive_control,relative_strength,relative_strength,1D,12H,spearman,design,113,0.9110592071015644,0.046809376120407274,0.0,True
positive_control,relative_strength,relative_strength,1D,1D,spearman,design,113,0.8865482615962081,0.05993364674478465,0.0,True
positive_control,relative_strength,relative_strength,1D,1D,pearson,design,113,0.8754706100153694,0.09943261711820234,0.0,True
positive_control,relative_strength,relative_strength,1D,3D,spearman,design,113,0.8166100441107975,0.09800299986333283,0.0,True
positive_control,relative_strength,relative_strength,1D,7D,spearman,design,113,0.7090883768505073,0.13249016731982508,0.0,True
positive_control,relative_strength,relative_strength,1D,14D,spearman,design,113,0.5791113697099896,0.16435768340552037,4.9560910716629485e-307,True
positive_control,relative_strength,relative_strength,1D,30D,spearman,design,113,0.3639923702927182,0.18076872212547443,1.209146839440245e-101,True
positive_control,relative_strength,relative_strength,1D,1H,spearman,validation,83,0.9317118096445934,0.039106409871137504,0.0,True
positive_control,relative_strength,relative_strength,1D,4H,spearman,validation,83,0.930002717637467,0.04074103924150646,0.0,True
positive_control,relative_strength,relative_strength,1D,12H,spearman,validation,83,0.91531539692605,0.04802308175808202,0.0,True
positive_control,relative_strength,relative_strength,1D,1D,spearman,validation,83,0.8935229640365975,0.05968243212205919,0.0,True
positive_control,relative_strength,relative_strength,1D,1D,pearson,validation,83,0.8835447378098874,0.0940776632728355,0.0,True
positive_control,relative_strength,relative_strength,1D,3D,spearman,validation,83,0.8189238155630035,0.08224678723112966,0.0,True
positive_control,relative_strength,relative_strength,1D,7D,spearman,validation,83,0.6812845366428119,0.13323176117410573,0.0,True
positive_control,relative_strength,relative_strength,1D,14D,spearman,validation,83,0.49933870821632387,0.18019672034058468,1.262694416332298e-140,True
positive_control,relative_strength,relative_strength,1D,30D,spearman,validation,83,0.37356394027908596,0.19909302156212044,1.6402146685464062e-65,True
positive_control,relative_strength,relative_strength,3D,1H,spearman,design,113,0.841979917258007,0.08607215665510551,0.0,True
positive_control,relative_strength,relative_strength,3D,4H,spearman,design,113,0.8421858589733052,0.08333388091623135,0.0,True
positive_control,relative_strength,relative_strength,3D,12H,spearman,design,113,0.8321892380613167,0.08962130087517002,0.0,True
positive_control,relative_strength,relative_strength,3D,1D,spearman,design,113,0.8144542772861357,0.1031879259779809,0.0,True
positive_control,relative_strength,relative_strength,3D,3D,spearman,design,113,0.7536713334611906,0.1260440598451945,0.0,True
positive_control,relative_strength,relative_strength,3D,3D,pearson,design,113,0.5317959876384953,0.37476239827828267,2.051062486378165e-51,True
positive_control,relative_strength,relative_strength,3D,7D,spearman,design,113,0.6575531749728305,0.1514734262469894,0.0,True
positive_control,relative_strength,relative_strength,3D,14D,spearman,design,113,0.5371447297817784,0.1619572729321063,2.799955307138979e-272,True
positive_control,relative_strength,relative_strength,3D,30D,spearman,design,113,0.3275274829314215,0.17061021634303317,1.4452524361208805e-92,True
positive_control,relative_strength,relative_strength,3D,1H,spearman,validation,83,0.8526406377389257,0.07627479727967124,0.0,True
