universe,family,signal,own_horizon,fwd_horizon,method,region,n_periods,mean_ic,std_ic,analytic_p,bh_significant
realistic,momentum,momentum,1H,1H,spearman,design,113,-0.027327004392814415,0.22442530495858393,0.19553663362577367,False
realistic,momentum,momentum,1H,1H,pearson,design,113,-0.023091447447521844,0.20631517445767797,0.23414090413214128,False
realistic,momentum,momentum,1H,4H,spearman,design,113,0.014128925906645846,0.23431147212316858,0.5215257637743728,False
realistic,momentum,momentum,1H,12H,spearman,design,113,0.031677351890919386,0.2490496964023866,0.1763500378951275,False
realistic,momentum,momentum,1H,1D,spearman,design,113,0.012229787117455272,0.21558896754993004,0.5464955043548578,False
realistic,momentum,momentum,1H,3D,spearman,design,113,0.0025350009589303855,0.23263285289643829,0.907781937188626,False
realistic,momentum,momentum,1H,7D,spearman,design,113,-0.003214014995844635,0.23707455526471108,0.8854114969446881,False
realistic,momentum,momentum,1H,14D,spearman,design,113,-0.023094240024840864,0.22409098230176938,0.2732908697025739,False
realistic,momentum,momentum,1H,30D,spearman,design,113,-0.01354238015653397,0.25440143714476937,0.5714839351310632,False
realistic,momentum,momentum,1H,1H,spearman,validation,83,-0.021197572243862668,0.2432401209421692,0.4272279387854093,False
realistic,momentum,momentum,1H,1H,pearson,validation,83,-0.017005100102134865,0.2394613738104551,0.517652684186662,False
realistic,momentum,momentum,1H,4H,spearman,validation,83,-0.012830268442189815,0.22313053114500966,0.6003754551907492,False
realistic,momentum,momentum,1H,12H,spearman,validation,83,0.027354530905577195,0.21478966765381924,0.24594338731016296,False
realistic,momentum,momentum,1H,1D,spearman,validation,83,0.05350424253404595,0.2513358152060983,0.052449664769405616,False
realistic,momentum,momentum,1H,3D,spearman,validation,83,0.0610955098589848,0.26179552784676535,0.033493944127795654,False
realistic,momentum,momentum,1H,7D,spearman,validation,83,0.05814838300570704,0.2703578989206674,0.050058294009378994,False
realistic,momentum,momentum,1H,14D,spearman,validation,83,0.00648911435214542,0.2175379404351986,0.7858046736802596,False
realistic,momentum,momentum,1H,30D,spearman,validation,83,-0.005827822568469367,0.2163728338559389,0.8061606946490142,False
realistic,momentum,momentum,4H,1H,spearman,design,113,-0.0441957313899011,0.2402648265685316,0.05053920084765312,False
realistic,momentum,momentum,4H,4H,spearman,design,113,-0.010097080285304618,0.23469765295528391,0.6474364477531919,False
realistic,momentum,momentum,4H,4H,pearson,design,113,-0.0014631833334958662,0.2240440447346602,0.9446527708535166,False
realistic,momentum,momentum,4H,12H,spearman,design,113,0.017378786633423744,0.24717209781464752,0.4548157732047162,False
realistic,momentum,momentum,4H,1D,spearman,design,113,-0.0007495639149931001,0.2302339139962354,0.9723921891901258,False
realistic,momentum,momentum,4H,3D,spearman,design,113,-0.01272957249970319,0.21669400899164368,0.5323241048463784,False
realistic,momentum,momentum,4H,7D,spearman,design,113,-0.002940948153830696,0.23877603170206108,0.8958314713182306,False
realistic,momentum,momentum,4H,14D,spearman,design,113,-0.02253532060239092,0.26077142050792856,0.35828653862591286,False
realistic,momentum,momentum,4H,30D,spearman,design,113,-0.016085372201978126,0.2816919343857503,0.5438442030424682,False
realistic,momentum,momentum,4H,1H,spearman,validation,83,0.022553371380257873,0.242247476278279,0.3963342226171205,False
realistic,momentum,momentum,4H,4H,spearman,validation,83,0.025657517287193888,0.2467398443159313,0.3434560928499507,False
realistic,momentum,momentum,4H,4H,pearson,validation,83,0.02499752737815414,0.24411591752407827,0.35086615912213914,False
realistic,momentum,momentum,4H,12H,spearman,validation,83,0.04202071443669414,0.23617167805136757,0.10502432447042917,False
realistic,momentum,momentum,4H,1D,spearman,validation,83,0.030600597880242778,0.22797719631288452,0.2213817168174671,False
realistic,momentum,momentum,4H,3D,spearman,validation,83,0.03125283087236162,0.2474889476546703,0.24995328720178323,False
realistic,momentum,momentum,4H,7D,spearman,validation,83,0.01869734577407374,0.24718063823888195,0.49073806783354434,False
realistic,momentum,momentum,4H,14D,spearman,validation,83,-0.02367062233897998,0.23873495719997517,0.3663659280991035,False
realistic,momentum,momentum,4H,30D,spearman,validation,83,0.01799679922698312,0.236008562343964,0.48723404370082934,False
realistic,momentum,momentum,12H,1H,spearman,design,113,-0.02111016740184663,0.24033667723389193,0.35045479614408825,False
realistic,momentum,momentum,12H,4H,spearman,design,113,0.011163776176516253,0.2586051147279507,0.6463096404360786,False
realistic,momentum,momentum,12H,12H,spearman,design,113,0.01903134332447465,0.2455089187418872,0.4099242704624043,False
realistic,momentum,momentum,12H,12H,pearson,design,113,0.018968854415990093,0.25722091483043763,0.4330846152529335,False
realistic,momentum,momentum,12H,1D,spearman,design,113,0.01172771856763199,0.2486725460840731,0.6161379023524953,False
realistic,momentum,momentum,12H,3D,spearman,design,113,-0.0017103208307076893,0.21151058319848678,0.9315000561569116,False
realistic,momentum,momentum,12H,7D,spearman,design,113,0.003498725992492941,0.2301546340824462,0.8716243523299466,False
realistic,momentum,momentum,12H,14D,spearman,design,113,-0.005023653616080807,0.2460402289019596,0.8281721071136262,False
realistic,momentum,momentum,12H,30D,spearman,design,113,-0.04476081536480452,0.2583433925005344,0.06550603357876457,False
realistic,momentum,momentum,12H,1H,spearman,validation,83,-0.009668750188724824,0.2343053130158984,0.7069558956806388,False
